	ID	POEM_NUMBER	POEM_TITLE	STANZA	LINE_NUMBER	LINE_IN_SOURCE	LINE	RHYMEWORD	RHYME	RECONSTRUCTION	COMMENT	PROBLEMS	SPLIT_LINE	ALIGNMENT	RHYMEIDS	LENGTH
92	93	7	兔罝	7.1	2	椓之丁b[teng]丁。（a= 鱼部）	椓之丁丁	丁	7.1b	teng	a=鱼部		椓 + 之 + 丁 + 丁	椓 + 之 + 丁 + 丁	0 0 26 0	4
93	94	7	兔罝	7.1	1	赳赳武a[piua]夫	赳赳武夫	夫	7.1a	piua			赳 + 赳 + 武 + 夫	赳 + 赳 + 武 + 夫	0 0 0 25	4
94	95	7	兔罝	7.1	2	公侯干b[zjieng]城。（b= 耕部）	公侯干城	城	7.1b	zjieng	b=耕部		公 + 侯 + 干 + 城	公 + 侯 + 干 + 城	0 0 0 26	4
95	96	7	兔罝	7.2	1	肅肅兔a[tzia]罝	肅肅兔罝	罝	7.2a	tzia			肅 + 肅 + 兔 + 罝	肅 + 肅 + 兔 + 罝	0 0 0 27	4
96	97	7	兔罝	7.2	2	施于中b[giu]逵。（a= 鱼部）	施于中逵	逵	7.2b	giu	a=鱼部		施 + 于 + 中 + 逵	施 + 于 + 中 + 逵	0 0 0 28	4
97	98	7	兔罝	7.2	1	赳赳武a[piua]夫	赳赳武夫	夫	7.2a	piua			赳 + 赳 + 武 + 夫	赳 + 赳 + 武 + 夫	0 0 0 27	4
98	99	7	兔罝	7.2	2	公侯好b[giu]仇。（b=幽部）	公侯好仇	仇	7.2b	giu	b=幽部		公 + 侯 + 好 + 仇	公 + 侯 + 好 + 仇	0 0 0 28	4
99	100	7	兔罝	7.3	1	肅肅兔a[tzia]罝	肅肅兔罝	罝	7.3a	tzia			肅 + 肅 + 兔 + 罝	肅 + 肅 + 兔 + 罝	0 0 0 29	4
100	101	7	兔罝	7.3	2	施于中b[liəm]林。（a= 鱼部）	施于中林	林	7.3b	liəm	a=鱼部		施 + 于 + 中 + 林	施 + 于 + 中 + 林	0 0 0 30	4
101	102	7	兔罝	7.3	1	赳赳武a[piua]夫	赳赳武夫	夫	7.3a	piua			赳 + 赳 + 武 + 夫	赳 + 赳 + 武 + 夫	0 0 0 29	4
102	103	7	兔罝	7.3	2	公侯腹b[siəm]心。（b= 侵部）	公侯腹心	心	7.3b	siəm	b=侵部		公 + 侯 + 腹 + 心	公 + 侯 + 腹 + 心	0 0 0 30	4
103	104	8	芣苡	8.1	1	采采芣a[jiə]苢	采采芣苢	苢	8.1a	jiə			采 + 采 + 芣 + 苢	采 + 采 + 芣 + 苢	0 0 0 31	4
104	105	8	芣苡	8.1	2	薄言b[tsə]采之。（a= 之部）	薄言采之	采	8.1b	tsə	a=之部		薄 + 言 + 采 + 之	薄 + 言 + 采 + 之	0 0 32 0	4
105	106	8	芣苡	8.1	1	采采芣a[jiə]苢	采采芣苢	苢	8.1a	jiə			采 + 采 + 芣 + 苢	采 + 采 + 芣 + 苢	0 0 0 31	4
106	107	8	芣苡	8.1	2	薄言b[hiuə]有之。（b= 之部）	薄言有之	有	8.1b	hiuə	b=之部		薄 + 言 + 有 + 之	薄 + 言 + 有 + 之	0 0 32 0	4
107	108	8	芣苡	8.2	1	采采芣a[jiə]苢	采采芣苢	苢	8.2a	jiə			采 + 采 + 芣 + 苢	采 + 采 + 芣 + 苢	0 0 0 33	4
108	109	8	芣苡	8.2	2	薄言b[tuat]掇之。（a= 之部）	薄言掇之	掇	8.2b	tuat	a=之部		薄 + 言 + 掇 + 之	薄 + 言 + 掇 + 之	0 0 34 0	4
109	110	8	芣苡	8.2	1	采采芣a[jiə]苢	采采芣苢	苢	8.2a	jiə			采 + 采 + 芣 + 苢	采 + 采 + 芣 + 苢	0 0 0 33	4
110	111	8	芣苡	8.2	2	薄言b[luat]捋之。（b= 月部）	薄言捋之	捋	8.2b	luat	b=月部		薄 + 言 + 捋 + 之	薄 + 言 + 捋 + 之	0 0 34 0	4
111	112	8	芣苡	8.3	1	采采芣a[jiə]苢	采采芣苢	苢	8.3a	jiə			采 + 采 + 芣 + 苢	采 + 采 + 芣 + 苢	0 0 0 35	4
112	113	8	芣苡	8.3	2	薄言b[kyet]袺之。（a= 之部）	薄言袺之	袺	8.3b	kyet	a=之部		薄 + 言 + 袺 + 之	薄 + 言 + 袺 + 之	0 0 36 0	4
113	114	8	芣苡	8.3	1	采采芣a[jiə]苢	采采芣苢	苢	8.3a	jiə			采 + 采 + 芣 + 苢	采 + 采 + 芣 + 苢	0 0 0 35	4
114	115	8	芣苡	8.3	2	薄言b[hyet]襭之。（b= 质部）	薄言襭之	襭	8.3b	hyet	b=质部		薄 + 言 + 襭 + 之	薄 + 言 + 襭 + 之	0 0 36 0	4
116	117	9	漢廣	9.1	2	不可a[xiu]休思。1	不可休思	休	9.1a	xiu			不 + 可 + 休 + 思	不 + 可 + 休 + 思	0 0 37 0	4
118	119	9	漢廣	9.1	2	不可a[giu]求思。（幽部）	不可求思	求	9.1a	giu	幽部		不 + 可 + 求 + 思	不 + 可 + 求 + 思	0 0 37 0	4
119	120	9	漢廣	9.1	1	漢之b[kuang]廣矣	漢之廣矣	廣	9.1b	kuang			漢 + 之 + 廣 + 矣	漢 + 之 + 廣 + 矣	0 0 38 0	4
120	121	9	漢廣	9.1	2	不可b[hyuang]泳思。	不可泳思	泳	9.1b	hyuang			不 + 可 + 泳 + 思	不 + 可 + 泳 + 思	0 0 38 0	4
121	122	9	漢廣	9.1	1	江之b[hyuang]永矣	江之永矣	永	9.1b	hyuang			江 + 之 + 永 + 矣	江 + 之 + 永 + 矣	0 0 38 0	4
122	123	9	漢廣	9.1	2	不可b[piuang]方思。（阳部）	不可方思	方	9.1b	piuang	阳部		不 + 可 + 方 + 思	不 + 可 + 方 + 思	0 0 38 0	4
124	125	9	漢廣	9.2	2	言刈其a[tshia]楚。	言刈其楚	楚	9.2a	tshia			言 + 刈 + 其 + 楚	言 + 刈 + 其 + 楚	0 0 0 39	4
126	127	9	漢廣	9.2	2	言秣其a[mea]馬。（鱼部）	言秣其馬	馬	9.2a	mea	鱼部		言 + 秣 + 其 + 馬	言 + 秣 + 其 + 馬	0 0 0 39	4
127	128	9	漢廣	9.2	1	漢之b[kuang]廣矣	漢之廣矣	廣	9.2b	kuang			漢 + 之 + 廣 + 矣	漢 + 之 + 廣 + 矣	0 0 40 0	4
128	129	9	漢廣	9.2	2	不可b[hyuang]泳思。	不可泳思	泳	9.2b	hyuang			不 + 可 + 泳 + 思	不 + 可 + 泳 + 思	0 0 40 0	4
129	130	9	漢廣	9.2	1	江之b[hyuang]永矣	江之永矣	永	9.2b	hyuang			江 + 之 + 永 + 矣	江 + 之 + 永 + 矣	0 0 40 0	4
130	131	9	漢廣	9.2	2	不可b[piuang]方思。（阳部）	不可方思	方	9.2b	piuang	阳部		不 + 可 + 方 + 思	不 + 可 + 方 + 思	0 0 40 0	4
132	133	9	漢廣	9.3	2	言刈其a[lio]蔞。	言刈其蔞	蔞	9.3a	lio			言 + 刈 + 其 + 蔞	言 + 刈 + 其 + 蔞	0 0 0 41	4
134	135	9	漢廣	9.3	2	言秣其a[kio]駒。（侯部）	言秣其駒	駒	9.3a	kio	侯部		言 + 秣 + 其 + 駒	言 + 秣 + 其 + 駒	0 0 0 41	4
135	136	9	漢廣	9.3	1	漢之b[kuang]廣矣	漢之廣矣	廣	9.3b	kuang			漢 + 之 + 廣 + 矣	漢 + 之 + 廣 + 矣	0 0 42 0	4
136	137	9	漢廣	9.3	2	不可b[hyuang]泳思。	不可泳思	泳	9.3b	hyuang			不 + 可 + 泳 + 思	不 + 可 + 泳 + 思	0 0 42 0	4
137	138	9	漢廣	9.3	1	江之b[hyuang]永矣	江之永矣	永	9.3b	hyuang			江 + 之 + 永 + 矣	江 + 之 + 永 + 矣	0 0 42 0	4
138	139	9	漢廣	9.3	2	不可b[piuang]方思。（阳部）	不可方思	方	9.3b	piuang	阳部		不 + 可 + 方 + 思	不 + 可 + 方 + 思	0 0 42 0	4
140	141	10	汝墳	10.1	2	伐其條a[muəi]枚。	伐其條枚	枚	10.1a	muəi			伐 + 其 + 條 + 枚	伐 + 其 + 條 + 枚	0 0 0 43	4
142	143	10	汝墳	10.1	2	惄如調a[kiei]飢。（微脂合韵）	惄如調飢	飢	10.1a	kiei	微脂合韵		惄 + 如 + 調 + 飢	惄 + 如 + 調 + 飢	0 0 0 43	4
144	145	10	汝墳	10.2	2	伐其條a[jiet]肄。	伐其條肄	肄	10.2a	jiet			伐 + 其 + 條 + 肄	伐 + 其 + 條 + 肄	0 0 0 44	4
146	147	10	汝墳	10.2	2	不我遐a[khiet]棄。（质部）	不我遐棄	棄	10.2a	khiet	质部		不 + 我 + 遐 + 棄	不 + 我 + 遐 + 棄	0 0 0 44	4
147	148	10	汝墳	10.3	1	魴魚赬a[miuəi]尾	魴魚赬尾	尾	10.3a	miuəi			魴 + 魚 + 赬 + 尾	魴 + 魚 + 赬 + 尾	0 0 0 45	4
148	149	10	汝墳	10.3	2	王室如a[xiuəi]燬。	王室如燬	燬	10.3a	xiuəi			王 + 室 + 如 + 燬	王 + 室 + 如 + 燬	0 0 0 45	4
149	150	10	汝墳	10.3	1	雖則如a[xiuəi]燬	雖則如燬	燬	10.3a	xiuəi			雖 + 則 + 如 + 燬	雖 + 則 + 如 + 燬	0 0 0 45	4
150	151	10	汝墳	10.3	2	父母孔a[njiei]邇。（微脂合韵）	父母孔邇	邇	10.3a	njiei	微脂合韵		父 + 母 + 孔 + 邇	父 + 母 + 孔 + 邇	0 0 0 45	4
151	152	11	麟之趾	11.1	1	麟之a[tjiə]趾	麟之趾	趾	11.1a	tjiə			麟 + 之 + 趾	麟 + 之 + 趾	0 0 46	3
152	153	11	麟之趾	11.1	2	振振公a[tziə]子。（之部）	振振公子	子	11.1a	tziə	之部		振 + 振 + 公 + 子	振 + 振 + 公 + 子	0 0 0 46	4
153	154	11	麟之趾	11.1	1	于嗟B[lien]麟兮。	于嗟麟兮	麟	11.1b	lien			于 + 嗟 + 麟 + 兮	于 + 嗟 + 麟 + 兮	0 0 47 0	4
154	155	11	麟之趾	11.2	1	麟之a[dyeng]定	麟之定	定	11.2a	dyeng			麟 + 之 + 定	麟 + 之 + 定	0 0 48	3
155	156	11	麟之趾	11.2	2	振振公a[sieng]姓。（耕部）	振振公姓	姓	11.2a	sieng	耕部		振 + 振 + 公 + 姓	振 + 振 + 公 + 姓	0 0 0 48	4
156	157	11	麟之趾	11.2	1	于嗟B[lien]麟兮。	于嗟麟兮	麟	11.2b	lien			于 + 嗟 + 麟 + 兮	于 + 嗟 + 麟 + 兮	0 0 49 0	4
157	158	11	麟之趾	11.3	1	麟之a[keok]角	麟之角	角	11.3a	keok			麟 + 之 + 角	麟 + 之 + 角	0 0 50	3
158	159	11	麟之趾	11.3	2	振振公a[dzok]族。（屋部）	振振公族	族	11.3a	dzok	屋部		振 + 振 + 公 + 族	振 + 振 + 公 + 族	0 0 0 50	4
159	160	11	麟之趾	11.3	1	于嗟B[lien]麟兮。（真部）	于嗟麟兮	麟	11.3b	lien	真部		于 + 嗟 + 麟 + 兮	于 + 嗟 + 麟 + 兮	0 0 51 0	4
162	163	12	鵲巢	12.1	2	維鳩a[kia]居之。	維鳩居之	居	12.1a	kia			維 + 鳩 + 居 + 之	維 + 鳩 + 居 + 之	0 0 52 0	4
164	165	12	鵲巢	12.1	2	百兩a[ngiak]御之。（鱼铎通韵）	百兩御之	御	12.1a	ngiak	鱼铎通韵		百 + 兩 + 御 + 之	百 + 兩 + 御 + 之	0 0 52 0	4
166	167	12	鵲巢	12.2	2	維鳩a[piuang]方之。	維鳩方之	方	12.2a	piuang			維 + 鳩 + 方 + 之	維 + 鳩 + 方 + 之	0 0 53 0	4
168	169	12	鵲巢	12.2	2	百兩a[tziang]將之。（阳部）	百兩將之	將	12.2a	tziang	阳部		百 + 兩 + 將 + 之	百 + 兩 + 將 + 之	0 0 53 0	4
170	171	12	鵲巢	12.3	2	維鳩a[jieng]盈之。	維鳩盈之	盈	12.3a	jieng			維 + 鳩 + 盈 + 之	維 + 鳩 + 盈 + 之	0 0 54 0	4
172	173	12	鵲巢	12.3	2	百兩a[zjieng]成之。（耕部）	百兩成之	成	12.3a	zjieng	耕部		百 + 兩 + 成 + 之	百 + 兩 + 成 + 之	0 0 54 0	4
174	175	13	采蘩	13.1	2	于沼于a[tjiə]沚。	于沼于沚	沚	13.1a	tjiə			于 + 沼 + 于 + 沚	于 + 沼 + 于 + 沚	0 0 0 55	4
176	177	13	采蘩	13.1	2	公侯之a[dzhiə]事。（之部）	公侯之事	事	13.1a	dzhiə	之部		公 + 侯 + 之 + 事	公 + 侯 + 之 + 事	0 0 0 55	4
178	179	13	采蘩	13.2	2	于澗之a[tiuəm]中。	于澗之中	中	13.2a	tiuəm			于 + 澗 + 之 + 中	于 + 澗 + 之 + 中	0 0 0 56	4
180	181	13	采蘩	13.2	2	公侯之a[kiuəm]宮。（侵部）	公侯之宮	宮	13.2a	kiuəm	侵部		公 + 侯 + 之 + 宮	公 + 侯 + 之 + 宮	0 0 0 56	4
181	182	13	采蘩	13.3	1	被之僮a[dong]僮	被之僮僮	僮	13.3a	dong			被 + 之 + 僮 + 僮	被 + 之 + 僮 + 僮	0 0 57 0	4
182	183	13	采蘩	13.3	2	夙夜在a[kong]公。（东部）	夙夜在公	公	13.3a	kong	东部		夙 + 夜 + 在 + 公	夙 + 夜 + 在 + 公	0 0 0 57	4
183	184	13	采蘩	13.3	1	被之祁b[giei]祁	被之祁祁	祁	13.3b	giei			被 + 之 + 祁 + 祁	被 + 之 + 祁 + 祁	0 0 58 0	4
184	185	13	采蘩	13.3	2	薄言還b[kiuəi]歸。（脂微合韵）	薄言還歸	歸	13.3b	kiuəi	脂微合韵		薄 + 言 + 還 + 歸	薄 + 言 + 還 + 歸	0 0 0 58	4
185	186	14	草蟲	14.1	1	喓喓草a[diuəm]蟲	喓喓草蟲	蟲	14.1a	diuəm			喓 + 喓 + 草 + 蟲	喓 + 喓 + 草 + 蟲	0 0 0 59	4
186	187	14	草蟲	14.1	2	趯趯阜a[tjiuəm]螽	趯趯阜螽	螽	14.1a	tjiuəm			趯 + 趯 + 阜 + 螽	趯 + 趯 + 阜 + 螽	0 0 0 59	4
188	189	14	草蟲	14.1	1	未見君b[tziə]子	未見君子	子	14.1b	tziə			未 + 見 + 君 + 子	未 + 見 + 君 + 子	0 0 0 60	4
189	190	14	草蟲	14.1	2	憂心忡a[thiuəm]忡。（a= 侵部）	憂心忡忡	忡	14.1a	thiuəm	a=侵部		憂 + 心 + 忡 + 忡	憂 + 心 + 忡 + 忡	0 0 59 0	4
190	191	14	草蟲	14.1	1	亦既見b[tjiə]止	亦既見止	止	14.1b	tjiə			亦 + 既 + 見 + 止	亦 + 既 + 見 + 止	0 0 0 60	4
191	192	14	草蟲	14.1	2	亦既覯b[tjiə]止	亦既覯止	止	14.1b	tjiə			亦 + 既 + 覯 + 止	亦 + 既 + 覯 + 止	0 0 0 60	4
192	193	14	草蟲	14.1	3	我心則a[hoəm]降。（b= 之部）	我心則降	降	14.1a	hoəm	b=之部		我 + 心 + 則 + 降	我 + 心 + 則 + 降	0 0 0 59	4
194	195	14	草蟲	14.2	2	言采其a[kiuat]蕨。	言采其蕨	蕨	14.2a	kiuat			言 + 采 + 其 + 蕨	言 + 采 + 其 + 蕨	0 0 0 61	4
195	196	14	草蟲	14.2	1	未見君b[tziə]子	未見君子	子	14.2b	tziə			未 + 見 + 君 + 子	未 + 見 + 君 + 子	0 0 0 62	4
196	197	14	草蟲	14.2	2	憂心惙a[tiuat]惙。（a= 月部）	憂心惙惙	惙	14.2a	tiuat	a=月部		憂 + 心 + 惙 + 惙	憂 + 心 + 惙 + 惙	0 0 61 0	4
197	198	14	草蟲	14.2	1	亦既見b[tjiə]止	亦既見止	止	14.2b	tjiə			亦 + 既 + 見 + 止	亦 + 既 + 見 + 止	0 0 0 62	4
198	199	14	草蟲	14.2	2	亦既覯b[tjiə]止	亦既覯止	止	14.2b	tjiə			亦 + 既 + 覯 + 止	亦 + 既 + 覯 + 止	0 0 0 62	4
